,0
0,Alabama
1,Alaska
2,Arkansas
3,Colorado
4,Connecticut
5,Delaware
6,Florida
7,Hawaii
8,Idaho
9,Illinois
10,Indiana
11,Iowa
12,Kentucky
13,Louisiana
14,Maine
15,Maryland
16,Massachusetts
17,Michigan
18,Minnesota
19,Missouri
20,Montana
21,Nebraska
22,Nevada
23,New Hampshire
24,New Jersey
25,North Carolina
26,North Dakota
27,Oklahoma
28,Oregon
29,Pennsylvania
30,Rhode Island
31,South Carolina
32,South Dakota
33,Tennessee
34,Texas
35,Utah
36,Vermont
37,Virginia
38,Washington
39,West Virginia
40,Wisconsin
41,Wyoming
