Unnamed: 0,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,police,police
5,pensais,thought
6,aide,help
8,genre,kind
9,mois,month
10,frère,brother
11,laisser,let
12,car,because
14,laisse,leash
17,chaque,each
18,parlé,speak
19,arrivé,come
22,longtemps,long time
24,vont,will
26,revoir,meet again
27,aucune,any
28,place,square
30,compris,understood
32,étaient,were
33,attention,Warning
34,voici,here is
36,affaire,case
37,donner,give
38,type,type
42,corps,body
45,façon,way
46,écoute,listen
47,dont,whose
48,trouve,find
49,premier,first
50,perdu,lost
51,main,hand
53,côté,side
54,pouvoir,power
56,sois,be
58,tellement,so much
59,enfant,child
61,venu,came
62,suite,after
63,pardon,sorry
64,venez,come
65,devant,in front of
66,vers,towards
68,demandé,request
69,chambre,bedroom
71,belle,beautiful
72,droit,law
73,aimerais,would like to
74,aujourd'hui,today
75,mari,husband
76,cause,cause
77,enfin,finally
78,espère,hope
79,eau,water
80,attendez,Wait
81,parti,left
82,nouvelle,new
87,compte,account
88,donne,given
89,loin,far
90,fin,end
92,chérie,sweetheart
93,gros,large
94,plutôt,rather
95,filles,girls
97,bureau,office
